Image_Name,Fidelity_Score
007186_2_latino.jpg,0.12174088276415329
004144_2_latino.jpg,0.12192883534271859
001923_5_east asian.jpg,0.12234332768642808
008652_4_southeast asian.jpg,0.12249549779528746
005115_5_east asian.jpg,0.12305122051231754
002544_4_southeast asian.jpg,0.12320006678975859
007852_0_black.jpg,0.1232704082776328
009308_6_white.jpg,0.1233528598383018
008080_2_latino.jpg,0.12340852444016215
006491_0_black.jpg,0.12344064129038035
005146_0_black.jpg,0.1234666828474984
005297_5_east asian.jpg,0.12350375900091937
005265_2_latino.jpg,0.12381102779326314
006071_0_black.jpg,0.12423962471178918
008518_6_white.jpg,0.12458638671331901
005004_0_black.jpg,0.12465176488772367
003132_5_east asian.jpg,0.12507924396289405
005761_6_white.jpg,0.1251056854522583
004986_4_southeast asian.jpg,0.12576760342376025
007360_5_east asian.jpg,0.12587425898794402
006597_5_east asian.jpg,0.12611465106956454
001335_2_latino.jpg,0.12626922780094296
009078_0_black.jpg,0.1264147757598164
007115_0_black.jpg,0.12641651577235313
008586_2_latino.jpg,0.12646102268250003
006970_2_latino.jpg,0.12681852577098485
009089_4_southeast asian.jpg,0.12697483383097463
006583_5_east asian.jpg,0.12710567540561635
000338_4_southeast asian.jpg,0.12757912911292046
007852_3_middle eastern.jpg,0.1276321050139544
001941_5_east asian.jpg,0.12818603622411628
008586_4_southeast asian.jpg,0.12833400347912294
006986_0_black.jpg,0.12842273810088978
007767_6_white.jpg,0.12859369447067026
001441_2_latino.jpg,0.12870058472679902
009283_5_east asian.jpg,0.12895488768673857
006001_5_east asian.jpg,0.1291049644898643
005766_2_latino.jpg,0.12929393191227057
007706_5_east asian.jpg,0.12940992561486375
004076_1_indian.jpg,0.1301437831651
001387_5_east asian.jpg,0.13042742160407106
006546_2_latino.jpg,0.1304960404441209
002835_0_black.jpg,0.13070094231353702
005146_4_southeast asian.jpg,0.13081983183749668
006569_0_black.jpg,0.1309231443252752
007240_3_middle eastern.jpg,0.1315716407324028
007240_4_southeast asian.jpg,0.13165055701525818
007354_6_white.jpg,0.13168721288542606
005785_6_white.jpg,0.13176961162389889
006267_5_east asian.jpg,0.1318485334802224
008880_5_east asian.jpg,0.13199992015155826
001778_4_southeast asian.jpg,0.13223816915538134
007354_2_latino.jpg,0.13231442630264345
008652_5_east asian.jpg,0.13271701228839117
005115_4_southeast asian.jpg,0.13288880802433933
005697_3_middle eastern.jpg,0.13288942282092253
003028_0_black.jpg,0.13320104320440684
005773_0_black.jpg,0.13362044105101223
008397_0_black.jpg,0.13368246412191787
005766_6_white.jpg,0.133807072983811
007354_3_middle eastern.jpg,0.13381012668688008
005581_1_indian.jpg,0.13395888675368295
001857_2_latino.jpg,0.133972164427969
004413_0_black.jpg,0.13425800810735256
004923_3_middle eastern.jpg,0.13444266640816838
000086_6_white.jpg,0.13465629455902794
001366_5_east asian.jpg,0.13466311258402275
003028_3_middle eastern.jpg,0.134855348327084
005032_3_middle eastern.jpg,0.13488938769492287
006020_0_black.jpg,0.1349765718899849
005115_0_black.jpg,0.13533155840701339
009274_2_latino.jpg,0.13604902257147544
008707_5_east asian.jpg,0.13627370970564168
006481_1_indian.jpg,0.1363640291068422
007150_5_east asian.jpg,0.13649270888854592
007360_2_latino.jpg,0.13650669872290688
002936_3_middle eastern.jpg,0.13654125874233114
002652_3_middle eastern.jpg,0.13674237293481073
000338_3_middle eastern.jpg,0.13735422491433646
009384_0_black.jpg,0.13765764593039087
006152_4_southeast asian.jpg,0.13771829389990198
007311_3_middle eastern.jpg,0.13773007642435875
006486_3_middle eastern.jpg,0.13809617286215858
006921_5_east asian.jpg,0.13814478863083823
008707_6_white.jpg,0.1381450224994336
009283_1_indian.jpg,0.13834407806252402
006546_4_southeast asian.jpg,0.13842618961182818
